Date,Open,High,Low,Close,Volume
2025-02-21,194.97,196.55,191.62,191.88,70975320
2025-02-24,191.88,194.5,191.56,193.04,45540091
2025-02-25,193.04,194.1,190.04,192.63,27032474
2025-02-26,192.63,193.99,191.52,193.86,62364340
2025-02-27,193.86,195.07,191.82,192.71,38615733
2025-02-28,192.71,197.78,192.51,197.17,40824181
2025-03-03,197.17,202.58,197.03,202.56,62782618
2025-03-04,202.56,208.12,202.2,206.87,36693313
2025-03-05,206.87,211.22,206.0,206.68,72695529
2025-03-06,206.68,207.55,202.9,204.74,71404970
2025-03-07,204.74,207.84,201.88,206.55,61924400
2025-03-10,206.55,212.05,205.33,209.3,40977439
2025-03-11,209.3,211.31,205.05,207.4,28950743
2025-03-12,207.4,212.21,207.39,209.4,26693185
2025-03-13,209.4,212.29,208.89,210.79,74012788
2025-03-14,210.79,222.48,210.72,218.79,29821128
2025-03-17,218.79,223.38,218.76,220.43,47348155
2025-03-18,220.43,222.84,218.39,220.9,62398852
2025-03-19,220.9,222.49,214.89,217.13,31058236
2025-03-20,217.13,220.19,215.5,218.88,61903371
2025-03-21,218.88,219.32,216.18,217.5,37267014
2025-03-24,217.5,225.19,216.05,221.97,44803479
2025-03-25,221.97,224.21,220.36,220.47,36569047
2025-03-26,220.47,225.09,219.6,222.52,48738137
2025-03-27,222.52,224.04,219.22,222.51,70718777
2025-03-28,222.51,226.05,221.61,225.65,73648258
2025-03-31,225.65,231.29,223.44,227.43,43611848
2025-04-01,227.43,231.93,227.22,230.34,72285104
2025-04-02,230.34,239.35,228.71,237.21,55997398
2025-04-03,237.21,239.99,236.35,238.09,37745683
2025-04-04,238.09,242.72,236.37,240.31,35172089
2025-04-07,240.31,244.16,239.74,244.03,40609786
2025-04-08,244.03,245.1,238.24,241.74,52402241
2025-04-09,241.74,243.96,239.68,243.59,56959097
2025-04-10,243.59,247.94,242.92,246.89,59770294
2025-04-11,246.89,247.81,242.28,244.1,40618094
2025-04-14,244.1,255.65,243.31,253.8,45822269
2025-04-15,253.8,269.17,252.86,263.48,61401584
2025-04-16,263.48,265.9,263.25,265.83,70081529
2025-04-17,265.83,267.76,254.72,258.5,48045311
2025-04-18,258.5,263.86,258.18,263.66,52577392
2025-04-21,263.66,267.46,254.94,257.53,43542181
2025-04-22,257.53,262.11,257.5,260.87,39164750
2025-04-23,260.87,261.54,249.04,250.96,65240680
2025-04-24,250.96,255.59,250.67,254.19,31332517
2025-04-25,254.19,267.47,253.48,265.32,71308390
2025-04-28,265.32,269.32,262.16,265.59,56017148
2025-04-29,265.59,268.1,265.23,266.9,45224227
2025-04-30,266.9,269.33,260.4,263.87,34148277
2025-05-01,263.87,267.11,261.68,264.88,31152835
2025-05-02,264.88,264.95,260.88,264.49,69864751
2025-05-05,264.49,270.93,264.46,270.18,66910212
2025-05-06,270.18,272.47,266.92,269.01,52502591
2025-05-07,269.01,270.41,263.77,266.39,46286992
2025-05-08,266.39,270.73,264.32,269.38,46917629
2025-05-09,269.38,276.26,267.71,275.78,63178259
2025-05-12,275.78,276.61,273.23,276.12,33978451
2025-05-13,276.12,276.31,272.32,274.03,29585657
2025-05-14,274.03,280.34,273.04,277.71,27038339
2025-05-15,277.71,278.45,276.12,276.54,50574086
2025-05-16,276.54,279.16,267.64,268.54,43893131
2025-05-19,268.54,271.38,263.8,271.0,61604219
2025-05-20,271.0,271.6,257.77,259.1,74086404
2025-05-21,259.1,259.38,247.08,248.18,64419076
2025-05-22,248.18,248.88,246.67,247.0,42544869
2025-05-23,247.0,248.42,245.66,247.19,65781332
2025-05-26,247.19,248.73,243.32,245.25,70995390
2025-05-27,245.25,247.77,243.42,246.19,26841652
2025-05-28,246.19,246.7,245.02,246.15,71820188
2025-05-29,246.15,250.17,240.68,242.45,30753935
2025-05-30,242.45,251.8,241.89,248.85,42988956
