Date,Open,High,Low,Close,Volume
2025-02-03,247.89,249.12,245.57,248.61,41041409
2025-02-04,248.61,255.25,246.56,254.57,26549068
2025-02-05,254.57,256.9,247.73,249.12,63651294
2025-02-06,249.12,252.31,243.24,244.9,68111966
2025-02-07,244.9,248.71,241.87,244.31,33518563
2025-02-10,244.31,247.82,243.79,247.81,25218083
2025-02-11,247.81,250.69,234.23,234.39,64838594
2025-02-12,234.39,239.33,231.85,236.79,38028754
2025-02-13,236.79,246.2,236.12,244.33,35735717
2025-02-14,244.33,247.06,240.1,242.76,29044129
2025-02-17,242.76,248.28,239.11,247.38,64346656
2025-02-18,247.38,249.05,242.39,244.38,69520372
2025-02-19,244.38,251.89,241.74,247.45,26258701
2025-02-20,247.45,250.6,245.08,248.73,43965257
2025-02-21,248.73,250.08,244.35,245.54,48045400
2025-02-24,245.54,246.35,237.63,237.69,42424272
2025-02-25,237.69,238.33,229.86,231.05,67155303
2025-02-26,231.05,234.29,226.09,227.27,63671759
2025-02-27,227.27,232.81,226.71,231.75,48100898
2025-02-28,231.75,235.66,231.05,234.52,60158308
2025-03-03,234.52,239.21,233.39,238.44,32799286
2025-03-04,238.44,240.84,237.04,238.72,41403753
2025-03-05,238.72,241.14,232.52,238.54,61436615
2025-03-06,238.54,252.36,236.65,248.56,74191639
2025-03-07,248.56,252.84,244.68,251.7,46746150
2025-03-10,251.7,257.73,250.36,254.31,44417060
2025-03-11,254.31,259.22,253.77,256.69,64550214
2025-03-12,256.69,259.53,252.91,254.82,32090626
2025-03-13,254.82,256.88,249.3,250.85,62047289
2025-03-14,250.85,257.01,247.12,255.53,46057740
2025-03-17,255.53,256.08,247.95,251.95,69003862
2025-03-18,251.95,257.24,249.67,253.35,57076941
2025-03-19,253.35,255.45,246.85,247.46,56413847
2025-03-20,247.46,253.42,246.67,251.9,56480735
2025-03-21,251.9,251.9,241.77,244.33,47759723
2025-03-24,244.33,246.06,238.41,240.93,34153103
2025-03-25,240.93,243.29,227.92,231.23,44435421
2025-03-26,231.23,231.63,216.27,218.93,33042130
2025-03-27,218.93,221.47,213.83,220.43,50960998
2025-03-28,220.43,227.02,217.04,225.27,50609558
2025-03-31,225.27,227.98,220.42,223.65,51084413
2025-04-01,223.65,226.55,213.85,214.66,44624650
2025-04-02,214.66,221.26,213.57,221.17,74223417
2025-04-03,221.17,221.77,220.1,220.44,25665416
2025-04-04,220.44,227.09,219.31,225.04,59912636
2025-04-07,225.04,226.46,222.54,223.13,71996568
2025-04-08,223.13,232.18,222.86,230.58,65074367
2025-04-09,230.58,231.58,225.59,228.31,65478620
2025-04-10,228.31,236.0,226.39,234.25,53102695
2025-04-11,234.25,242.3,232.23,236.28,65936957
2025-04-14,236.28,242.97,233.85,241.87,39717116
2025-04-15,241.87,242.24,238.57,239.7,67533481
2025-04-16,239.7,239.95,233.76,236.04,37677457
2025-04-17,236.04,236.72,229.81,233.55,39060584
2025-04-18,233.55,233.95,231.57,233.89,48977502
2025-04-21,233.89,235.34,226.93,228.1,71436310
2025-04-22,228.1,228.58,224.05,224.66,66394993
2025-04-23,224.66,233.65,221.97,231.39,56658116
2025-04-24,231.39,238.7,231.36,238.34,72588428
2025-04-25,238.34,239.84,235.49,236.54,36682071
2025-04-28,236.54,238.68,234.39,238.32,32633595
2025-04-29,238.32,247.95,235.84,245.49,55418357
2025-04-30,245.49,255.45,241.91,254.71,69695626
2025-05-01,254.71,262.02,253.44,257.25,51539773
2025-05-02,257.25,265.1,254.49,264.96,69134123
2025-05-05,264.96,265.66,261.15,261.29,49653836
2025-05-06,261.29,267.14,260.24,264.37,32221041
2025-05-07,264.37,264.54,253.42,258.41,25330339
2025-05-08,258.41,259.98,253.69,256.11,53128449
2025-05-09,256.11,260.34,249.51,251.36,73030676
2025-05-12,251.36,258.52,249.73,255.29,56806306
2025-05-13,255.29,263.05,252.86,262.41,41522789
2025-05-14,262.41,265.53,251.23,251.57,49233777
2025-05-15,251.57,253.25,250.87,252.85,41930327
2025-05-16,252.85,254.41,244.33,246.13,48726676
2025-05-19,246.13,246.8,237.39,238.01,46119430
2025-05-20,238.01,247.45,236.53,243.16,39644141
2025-05-21,243.16,247.91,241.22,245.7,50321199
2025-05-22,245.7,249.37,245.14,245.83,64597556
2025-05-23,245.83,247.71,242.97,243.96,56741044
2025-05-26,243.96,250.51,243.28,250.36,61133826
2025-05-27,250.36,257.43,248.35,255.32,25310533
2025-05-28,255.32,259.01,249.97,256.88,55434280
2025-05-29,256.88,260.68,249.23,252.16,55834957
2025-05-30,252.16,254.88,245.91,248.66,54815413
